"","word","tfidf"
"趙志敬","趙志敬",0.0977360997247855
"裘千尺","裘千尺",0.0951852882606852
"法王","法王",0.0930211812404004
"綠萼","綠萼",0.0906679366453855
"周伯通","周伯通",0.0811645904603945
"郭襄","郭襄",0.0667073111955893
"李莫愁","李莫愁",0.0626148330013292
"張君寶","張君寶",0.0606844289552767
"耶律齊","耶律齊",0.0587179856001782
"瀟湘子","瀟湘子",0.0584533450735578
"樊一翁","樊一翁",0.0580617691264709
"神雕","神雕",0.056934297155883
"尹克西","尹克西",0.0545991574337063
"尹志平","尹志平",0.0529130843121993
"公孫止","公孫止",0.0526682816262004
"公孫","公孫",0.0516274268713119
"一燈","一燈",0.0516039866190003
"覺遠","覺遠",0.0510519799147566
"武三通","武三通",0.0494650904949442
"柯鎮惡","柯鎮惡",0.0492088860785761
"尼摩星","尼摩星",0.0478137871251032
"陸無雙","陸無雙",0.0464273073204154
"慈恩","慈恩",0.044848047571039
"孫婆婆","孫婆婆",0.0412541870012704
"傻蛋","傻蛋",0.0406058455685616
"何師我","何師我",0.0387053790345215
"馬光佐","馬光佐",0.0381823989353522
"姑姑","姑姑",0.0373807249662664
"霍都","霍都",0.0370591672433934
"拂塵","拂塵",0.0368129953130575
"陸立鼎","陸立鼎",0.0349441943580029
"忽必烈","忽必烈",0.0348654472839852
"牯牛","牯牛",0.0340300908376457
"蒙古","蒙古",0.0334954202727292
"襄陽","襄陽",0.0332144129159919
"朱子柳","朱子柳",0.033155895824205
"完顏萍","完顏萍",0.0328071022472709
"歐陽鋒","歐陽鋒",0.0326828362644513
"程英","程英",0.0326005893882497
"郭襄道","郭襄道",0.0325795545535112
"武修文","武修文",0.0322622071304281
"女郎","女郎",0.0320268886862714
"漁網","漁網",0.0316480736365801
"西山","西山",0.031201931134952
"金輪法王","金輪法王",0.0303887731319038
"一窟","一窟",0.0301657936376225
"小龍女","小龍女",0.0298135609923225
"群雄","群雄",0.0295581912338567
"高臺","高臺",0.0291360333010233
"達爾巴","達爾巴",0.0285347042691599
"婆婆","婆婆",0.0283110776721565
"武三娘","武三娘",0.0280013863788057
"鋼杖","鋼杖",0.0278312017960219
"洪七公","洪七公",0.0278303107996621
"道人","道人",0.0266639905934349
"丘處機","丘處機",0.0265110464644914
"棗核","棗核",0.0264600965610716
"怪客","怪客",0.0260958452892384
"祖師","祖師",0.0256879459342071
"公孫綠萼","公孫綠萼",0.025620308551877
"傻姑","傻姑",0.0254138068054044
"木棒","木棒",0.0253604056763076
"大頭鬼","大頭鬼",0.025105957570784
"剪刀","剪刀",0.0248781015680939
"石棺","石棺",0.0241739409208628
"掌教","掌教",0.0241296490110873
"少婦","少婦",0.0235337592199809
"嬰兒","嬰兒",0.0234913233213081
"情花","情花",0.023345018518171
"天竺僧","天竺僧",0.0233179119282151
"什麼","什麼",0.0232414334123675
"武敦儒","武敦儒",0.0228158595881719
"彭長老","彭長老",0.0225532249472878
"綠衫","綠衫",0.0224912933042177
"雕俠","雕俠",0.0224720706537466
"鬍子","鬍子",0.0222070759837504
"少女","少女",0.0221234290474557
"老頑童","老頑童",0.0219017703377085
"楊過","楊過",0.0216453978156125
"幫主","幫主",0.0216136836473203
"鐵掌","鐵掌",0.0212374534809602
"盟主","盟主",0.0212181200954498
"楞伽","楞伽",0.0211913878891443
"台下","台下",0.0209631024045889
"鱷魚","鱷魚",0.0205503014951066
"馮默風","馮默風",0.0204773380956146
"鹿清篤","鹿清篤",0.0204748761627339
"長老","長老",0.0203398142458039
"郝大通","郝大通",0.0202704903544122
"上臺","上臺",0.0200476621097391
"城頭","城頭",0.0197312426754722
"道姑","道姑",0.0197285487578929
"化子","化子",0.019657605735546
"雙雕","雙雕",0.0195524814810654
"郭靖道","郭靖道",0.0195149326237997
"絕情","絕情",0.0195144336451447
"一燈大師","一燈大師",0.019431273421915
"鐵杖","鐵杖",0.019358777386178
"耶律晉","耶律晉",0.0191537725061409
"群道","群道",0.0191502907912711
"道士","道士",0.018510693271918
"銀針","銀針",0.0184962571252757
"綢帶","綢帶",0.018487767934665
"襄兒","襄兒",0.018337473685415
"十六年","十六年",0.0182128281143897
"怪人","怪人",0.0180631896601329
"郭靖","郭靖",0.0179697261710774
"瘦丐","瘦丐",0.017747154964193
"表妹","表妹",0.0173171094131788
"王志坦","王志坦",0.0172494273968063
"石窟","石窟",0.0172491680138433
"爸爸","爸爸",0.0171404722934921
"李志常","李志常",0.017038569060339
"醜雕","醜雕",0.0169069371175384
"黃藥師","黃藥師",0.0168101195316315
"二娘","二娘",0.0167181451393108
"牛肉","牛肉",0.0166531522964165
"姊姊","姊姊",0.0165090331019699
"靈狐","靈狐",0.0164979586782107
"棒法","棒法",0.0164341300253279
"孫不二","孫不二",0.0164187960888534
"郭芙道","郭芙道",0.0163944940195334
"先師","先師",0.0163889846711454
"老者","老者",0.0162548312555783
"史氏兄弟","史氏兄弟",0.0161290649267674
"店伴","店伴",0.0160907137986822
"打狗棒法","打狗棒法",0.016076238383444
"丐幫","丐幫",0.0160268651059502
"魯有腳","魯有腳",0.0159318981661882
"史伯威","史伯威",0.0158662712743059
"竹棒","竹棒",0.0158422404211295
"鐵輪","鐵輪",0.0157738919224742
"丹藥","丹藥",0.0157727625714443
"史孟捷","史孟捷",0.0156816630516188
"楊大哥","楊大哥",0.015599485538292
"玉蜂針","玉蜂針",0.0155712812952579
"黑衣","黑衣",0.0155635750998281
"姬清虛","姬清虛",0.0155558553418761
"趙二人","趙二人",0.0155541090052666
"馮鐵匠","馮鐵匠",0.0155514203781404
"恩公","恩公",0.0154679822182936
"北斗","北斗",0.0152053930155164
"重陽","重陽",0.0151861439262185
"哥哥","哥哥",0.0151508264563061
"銀子","銀子",0.0151049152307506
"重劍","重劍",0.0149024461493373
"輪子","輪子",0.0148976270103321
"二道","二道",0.014888798405413
"老婦","老婦",0.0148776815872295
"女孩","女孩",0.0148686137279707
"黑劍","黑劍",0.0147876490444091
"長矛","長矛",0.0146879393066856
"經書","經書",0.0146752708412276
"王重陽","王重陽",0.0146248865006503
"老伯","老伯",0.0146111954273512
"金輪","金輪",0.0145419736004019
"全真","全真",0.0143475411898506
"蟋蟀","蟋蟀",0.0143050139636409
"蜈蚣","蜈蚣",0.0140345278946703
"孩子","孩子",0.0140344458592556
"陣法","陣法",0.0140290354237909
"師妹","師妹",0.0139894282769863
"師母","師母",0.0139654557528008
"大廳","大廳",0.0138897977940952
"半枚","半枚",0.0137818686360539
"芙妹","芙妹",0.0137514950544781
"義父","義父",0.0137378958827469
"須鬼","須鬼",0.0136647039222607
"妹子","妹子",0.0136177447244124
"玄鐵劍","玄鐵劍",0.0135805262515186
"匕首","匕首",0.0135590104336998
"王旗","王旗",0.0134962027544173
"婦人","婦人",0.0134632747559933
"龍兒","龍兒",0.0134555209834209
"矮子","矮子",0.0133601167237039
"臺上","臺上",0.0133212664977422
"白眉僧","白眉僧",0.0133103662231447
"丁大全","丁大全",0.0132483590177316
"笑臉鬼","笑臉鬼",0.0132441180295828
"校場","校場",0.0131085644375478
"師兄","師兄",0.0130955475260985
"繩索","繩索",0.0130661214295462
"解藥","解藥",0.0130617096344958
"面具","面具",0.0130004644619388
"蜜蜂","蜜蜂",0.0129834486650094
"敵軍","敵軍",0.0128470434577061
"雕兄","雕兄",0.0128451557727915
"和尚","和尚",0.0128218006552947
"歌聲","歌聲",0.0128033084708362
"二武","二武",0.0127614401182828
"金刀","金刀",0.0127403857406149
"敕封","敕封",0.0126946317710731
"彎刀","彎刀",0.0126937265479772
"王爺","王爺",0.0126190147609212
"老前輩","老前輩",0.0126142371014355
"媽媽","媽媽",0.0126036776933491
"鐵蛇","鐵蛇",0.0125979116698171
"驢子","驢子",0.0125913850889881
"麻雀","麻雀",0.0125091752266591
"姑母","姑母",0.012508333694606
"大漢","大漢",0.0124485256370964
"真五子","真五子",0.0123813526878122
"駱駝","駱駝",0.0123747783052169
"南海","南海",0.0123223569155324
"史季強","史季強",0.0123021660264158
"全真教","全真教",0.0122685599250552
"大哥","大哥",0.0122495819925325
"火把","火把",0.0122457254948982
"大師","大師",0.0122416480555415
"宋德方","宋德方",0.0122251376611366
"老丐","老丐",0.0121903694226418
"師叔","師叔",0.0121844544197937
"韃子","韃子",0.0121245278491352
"玉女心經","玉女心經",0.0120881555537564
"石室","石室",0.0120660023658421
"千戶","千戶",0.0120422827595621
"百姓","百姓",0.0120312683686528
"活死人","活死人",0.0120029496641867
"皮清玄","皮清玄",0.0120013889739525
"山洞","山洞",0.011971389243007
"老僧","老僧",0.0119516046647588
"表姊","表姊",0.0119439425569148
"郭二","郭二",0.0119275380473969
"母親","母親",0.0119011515255182
"楊兄弟","楊兄弟",0.0118934546978048
"洪老幫","洪老幫",0.0118866431093571
"過兒","過兒",0.0118744279561648
"孩兒","孩兒",0.0118517881620478
"林朝英","林朝英",0.0118429256300071
"妹妹","妹妹",0.011842415532238
"畜生","畜生",0.0118104473890365
"史叔剛","史叔剛",0.0117864846467239
"居士","居士",0.0117815323852313
"南陽","南陽",0.0117114848294668
"陸展元","陸展元",0.0116303587049315
"斷腸草","斷腸草",0.011599935046789
"乞丐","乞丐",0.0115862937775632
"那貴官","那貴官",0.0115819980302228
"野蜂","野蜂",0.0115819980302228
"巨鐘","巨鐘",0.0115767076649654
"九陽","九陽",0.0115589388486241
"童大海","童大海",0.0115353759604309
"膻中","膻中",0.0115138519026241
"禮物","禮物",0.0114390867228279
"新郎","新郎",0.0114361762387168
"武氏兄弟","武氏兄弟",0.011407932479278
"爹爹","爹爹",0.0114056663156498
"耶律燕","耶律燕",0.0113969992379719
"二哥","二哥",0.0113798488637549
"大汗","大汗",0.0113544068650405
"魔頭","魔頭",0.0112998009898682
"大宴","大宴",0.0112944717182463
"黑龍潭","黑龍潭",0.0112702038651783
"祁志誠","祁志誠",0.0112334072607846
"小僧","小僧",0.011222620704585
"屋頂","屋頂",0.0112155422671036
"小人","小人",0.0111855758484116
"黃幫主","黃幫主",0.0111226255873228
"深谷","深谷",0.0111104045730863
"申志凡","申志凡",0.0111006770249682
"劍法","劍法",0.0110621097172224
"王處一","王處一",0.0110617345560321
"筷子","筷子",0.0110499286152604
"長劍","長劍",0.0110067136358773
"前輩","前輩",0.0109911006996424
"七道","七道",0.0109093340315736
"單刀","單刀",0.0109001473663465
"兒子","兒子",0.0108986679267285
"彩雪蛛","彩雪蛛",0.0108581231533338
"耶律大","耶律大",0.0108490046306703
"武士","武士",0.0108381467912033
"城下","城下",0.0108378584431741
"上山","上山",0.010832464978678
"耶律楚材","耶律楚材",0.010819727812476
"男孩","男孩",0.0108186673571471
"城中","城中",0.0107382477685211
"父子","父子",0.010737939017564
"嘉興","嘉興",0.0107367697006319
"鐵釘","鐵釘",0.0107189057004781
"之毒","之毒",0.0106959836711751
"花叢","花叢",0.0106713356531712
"羊太傅","羊太傅",0.0106411038169827
"古墓","古墓",0.0106369780536167
"打狗棒","打狗棒",0.0106348201222838
"晚輩","晚輩",0.0106325335270969
"兄嫂","兄嫂",0.0106303266830872
"老伯伯","老伯伯",0.0106303266830872
"島主","島主",0.0106289873395198
"五絕","五絕",0.0105956939445721
"姊夫","姊夫",0.0105438653926792
"呂文德","呂文德",0.010517191182959
"陸家莊","陸家莊",0.0104609354648113
"九陰真經","九陰真經",0.0104295209567662
"棺蓋","棺蓋",0.010419727454181
"丹房","丹房",0.0103854194296144
"雙輪","雙輪",0.0103617309768051
"茅屋","茅屋",0.0103465713266409
"蜜漿","蜜漿",0.0103258257899841
"箱子","箱子",0.0102772012120415
"一陽指","一陽指",0.0102722736395732
"九尾","九尾",0.010266700684326
"外公","外公",0.0102583605112971
"亂石","亂石",0.0102536161190779
"伯母","伯母",0.0102481541303874
"官員","官員",0.0102101730487488
"五毒","五毒",0.0102016457289002
"比武","比武",0.010189949457321
"五人","五人",0.0101767389220505
"群獸","群獸",0.01016611275412
"小姑娘","小姑娘",0.0101014460154687
"大軍","大軍",0.0100838371219644
"英雄","英雄",0.010077522106552
"公孫姑娘","公孫姑娘",0.0100749983546401
"大殿","大殿",0.0100452306814345
"雙劍","雙劍",0.0100272565941233
"君子","君子",0.00997153209114945
"大俠","大俠",0.00994658222880399
"岳母","岳母",0.00993800847068592
"趙師兄","趙師兄",0.00992731535072343
"獨孤","獨孤",0.00992010008841425
"掌法","掌法",0.00991388463120132
"探子","探子",0.00988746510894076
"媳婦兒","媳婦兒",0.00988743154533559
"女兒","女兒",0.00988714469497018
"眾人","眾人",0.00986994858282135
"斷腸","斷腸",0.00985626175620237
"沙通天","沙通天",0.00982323799993408
"嘯聲","嘯聲",0.00980154506418287
"龍象","龍象",0.00979233367182633
"藏經閣","藏經閣",0.0097636956963741
"淑女","淑女",0.00975283097592607
"楊龍","楊龍",0.00971594776482481
"真經","真經",0.00971453403567395
"小道","小道",0.00968474781086207
"臨安","臨安",0.00968276449447947
"丘真人","丘真人",0.00967436500527226
"何沅君","何沅君",0.00963421871781895
"那化子","那化子",0.00963195238945104
"叫化","叫化",0.00958490429988535
"裘千仞","裘千仞",0.0095839037716009
"成親","成親",0.0095721412125115
"姑丈","姑丈",0.0095651963546987
"刀劍","刀劍",0.00954995322352522
"變化","變化",0.00954924650828572
"中原","中原",0.00952160175480304
"程英道","程英道",0.00950283104317199
"斷骨","斷骨",0.00949082205737493
"師弟","師弟",0.00947084886322775
"小妹","小妹",0.00941680370732996
"豹子","豹子",0.00941571183387766
"廣東","廣東",0.00941432730400224
"丈夫","丈夫",0.00940619523716024
"推舉","推舉",0.00940499122850236
"五醜","五醜",0.00939564235087897
"勇士","勇士",0.00939373536562218
"侍從","侍從",0.00937371747228069
"祝壽","祝壽",0.0093494515885133
"師姊","師姊",0.00934926953187276
"李師伯","李師伯",0.00928303745397121
"石陣","石陣",0.00926774356860285
"暗器","暗器",0.009259922458789
"芙兒","芙兒",0.00925009028567392
"玉蜂","玉蜂",0.00922956648601984
"白衣","白衣",0.0092180461085903
"寶馬","寶馬",0.00919026875183959
"拙夫","拙夫",0.00912867343287013
"郭夫人","郭夫人",0.00910494036755854
"大陣","大陣",0.00907474653683624
"二丐","二丐",0.00907341225332258
"大石","大石",0.00904423409311925
"郭大俠","郭大俠",0.00904306940103368
"江南","江南",0.00903801927556118
"大理","大理",0.00903383648287982
"兄弟","兄弟",0.00893946090316419
"奸臣","奸臣",0.00893284907695914
"北極星","北極星",0.00892813116050367
"劉處玄","劉處玄",0.00889193909568958
"華山","華山",0.00887407113942303
"三招","三招",0.00887279333913351
"新娘","新娘",0.00886527631894192
"大會","大會",0.00881317254982677
"率領","率領",0.00880799443007987
"玉女","玉女",0.00880352934375288
"仙子","仙子",0.00877312150936109
"姊妹","姊妹",0.00874975971119512
"師徒","師徒",0.00874395194404665
"兄弟倆","兄弟倆",0.00874357496419038
"桃花島","桃花島",0.00871371993683137
"雕兒","雕兒",0.00871086708535192
"黃蓉笑","黃蓉笑",0.00870727491291912
"阿根","阿根",0.00869754001343495
"郭姑娘","郭姑娘",0.00868918196534711
"大頭","大頭",0.00868128321641356
"青靈子","青靈子",0.00864656635296322
"黃蓉心","黃蓉心",0.00864516597500795
"史仲猛","史仲猛",0.00864409472992469
"客店","客店",0.00863833744125108
"軍官","軍官",0.00860309370210004
"一刀","一刀",0.00860299828873591
"僧人","僧人",0.00860265643246165
"夫人","夫人",0.00858091522293211
"摺扇","摺扇",0.00857817869595121
"橫樑","橫樑",0.00857710685547524
"藏邊五醜","藏邊五醜",0.0085646583679868
"拐杖","拐杖",0.00856438296802051
"大嫂","大嫂",0.00856027215185777
"洞口","洞口",0.00855550178127909
"眾道","眾道",0.00854420926249584
"鈴聲","鈴聲",0.00853857418749992
"馬鞭","馬鞭",0.00853805620341629
"張志光","張志光",0.00852789811953285
"毒性","毒性",0.00852406270949563
"薩多","薩多",0.00850766008483665
"黑驢","黑驢",0.00850752270941142
"姑娘","姑娘",0.00849985066792378
"玉虛洞","玉虛洞",0.00847424921698884
"拳法","拳法",0.00847411999631976
"斬斷","斬斷",0.00846179849308042
"小姐","小姐",0.00845701309396284
"一拳","一拳",0.00845337931096257
"陸氏","陸氏",0.00845033801379732
"岩石","岩石",0.00844535497387679
"軍中","軍中",0.00844181890675125
"黃蓉見","黃蓉見",0.0084413195712623
"老道","老道",0.00841274959258953
"溪水","溪水",0.00841189351493814
"樹幹","樹幹",0.00841082105051845
"墓門","墓門",0.00839908486833774
"少年","少年",0.00839169324032372
"小道士","小道士",0.00838226567920483
"廿四","廿四",0.0083718561332451
"畫像","畫像",0.0083630738004832
"那貴公子","那貴公子",0.00834049068024662
"木劍","木劍",0.00832542047276666
"般若","般若",0.00832478593162689
"百夫長","百夫長",0.00831542540578659
"接任","接任",0.00828375820357635
"郭襄大","郭襄大",0.00826750119428622
"弟子","弟子",0.00826632073654091
"瀟湘","瀟湘",0.00824322039617204
"完顏","完顏",0.00821339828234954
"淫賊","淫賊",0.00819602012244842
"石墓","石墓",0.00817507688389545
"鐵鐘","鐵鐘",0.00815791653341151
"飯鋪","飯鋪",0.00815582853976995
"神通","神通",0.00814366056979492
"父親","父親",0.00812665035262422
"鐵棒","鐵棒",0.00812453591553162
"四頭","四頭",0.00810293742954178
"惡婦","惡婦",0.00809647590481383
"王將軍","王將軍",0.00809362768474505
"四川人","四川人",0.00809362768474505
"蒙古人","蒙古人",0.00809296727566966
"柔兒","柔兒",0.00809052837717517
"口訣","口訣",0.00809002654901911
"美貌","美貌",0.00806948412099519
"綠衣","綠衣",0.00806734179452207
"下山","下山",0.00805929716865468
"阿彌陀佛","阿彌陀佛",0.00804815404608841
"咱倆","咱倆",0.00802332742363398
"樹林","樹林",0.00802174008255683
"金針","金針",0.0079694740655981
"山洪","山洪",0.00796656405448852
"老人","老人",0.0079621687134109
"二妹","二妹",0.00795044083794405
"那人","那人",0.00794890923378891
"老和尚","老和尚",0.00794461033477822
"萬人隊","萬人隊",0.00792497883545655
"大法","大法",0.00792040542076746
"新娘子","新娘子",0.00791933938393534
"牛鼻子","牛鼻子",0.00791437815764695
"郭靖見","郭靖見",0.00790377222647977
"軍馬","軍馬",0.00790040371991078
"郭襄見","郭襄見",0.00789252209473897
"神尼","神尼",0.00788225282754998
"小龍","小龍",0.00788045218111488
"道長","道長",0.0078793944976922
"伯伯","伯伯",0.00785929652174344
"終南山","終南山",0.00785151957418837
"古墓派","古墓派",0.00784897624207353
"石子","石子",0.00782486625735113
"官兵","官兵",0.00781948157142078
"閣下","閣下",0.00781311534717475
"金鈴索","金鈴索",0.0078116539223882
"山谷","山谷",0.00778551770835883
"赤練","赤練",0.00777427378784106
"楊居士","楊居士",0.00777241963521273
"人廚子","人廚子",0.0077604265803607
"武哥哥","武哥哥",0.00774583365924154
"花轎","花轎",0.00774567435797153
"美女","美女",0.00773922975517349
"長袍","長袍",0.00773802528021192
"各位","各位",0.00773480976938344
"大伯","大伯",0.00773114667860884
"人道","人道",0.00771711632591603
"瓷瓶","瓷瓶",0.00770815755931068
"四卷","四卷",0.00770595923241609
"達摩","達摩",0.00770595923241609
"親兵","親兵",0.00770564664945333
"心願","心願",0.00766858148567523
"之位","之位",0.00765065482453407
"崔志方","崔志方",0.00764544979022607
"雪地","雪地",0.00763587746787081
"五位","五位",0.0076143291978499
"老衲","老衲",0.00761167291282172
"幫眾","幫眾",0.0076056138625915
"楊過心","楊過心",0.00758309443881578
"五輪","五輪",0.00755447019415482
"四名","四名",0.00753088933076467
"鬼魂","鬼魂",0.0075156787490494
"東邪","東邪",0.00751243080323004
"黯然銷魂","黯然銷魂",0.00751075951746383
"逆行","逆行",0.00750408643557824
"漢子","漢子",0.00750110801876611
"花驢","花驢",0.00749032372488532
"黃島","黃島",0.00748458301074808
"害死","害死",0.00748061349980303
"毒質","毒質",0.0074762862030082
"老人家","老人家",0.00747364393576168
"自盡","自盡",0.00746359458841012
"公公","公公",0.00744394273085766
"四人","四人",0.00744005520180962
"山坡","山坡",0.00743115333171532
"惡人","惡人",0.00743073490853212
"兩隻","兩隻",0.00742234896761845
"汗血","汗血",0.00742164034975307
"窯洞","窯洞",0.00741628775764683
"黃前幫","黃前幫",0.00741559883170557
"神像","神像",0.00740614833314898
"金剛杵","金剛杵",0.00739286555605672
"移魂","移魂",0.00738851869198181
"蒙哥","蒙哥",0.00737291959404581
"陳大方","陳大方",0.00735784334976823
"酒杯","酒杯",0.00734396120386083
"下臺","下臺",0.00733490347629089
"西藏","西藏",0.0073277684600889
"一位","一位",0.00732320318371035
"劇毒","劇毒",0.00731266701279843
"天下英雄","天下英雄",0.00730438695967185
"樓梯","樓梯",0.00729870833107399
"銅輪","銅輪",0.00728773632291875
"欺侮","欺侮",0.00728351522736854
"小弟","小弟",0.00728268723305327
"哭喪棒","哭喪棒",0.00727971231715011
"道爺","道爺",0.00725893739045109
"藏語","藏語",0.00725004321356288
"毒針","毒針",0.00723622219707144
"霍都王子","霍都王子",0.00723227666084711
"獵人","獵人",0.00721943395868599
"柳妹","柳妹",0.00721515621923322
"石壁","石壁",0.00720354750334902
"少林寺","少林寺",0.0072004996537824
"武氏","武氏",0.00719101438173748
"一劍","一劍",0.00717787225171921
"門下","門下",0.00717769720697076
"牆頭","牆頭",0.00716619336776918
"那道人","那道人",0.00716382678001635
"郭靖心","郭靖心",0.00715704347002931
"蜂蜜","蜂蜜",0.007134209384907
"經脈","經脈",0.0071336894904006
"賤人","賤人",0.00713340811632634
"十年","十年",0.0071328157539579
"全真劍","全真劍",0.00712373104010917
"一隊","一隊",0.00712167337116247
"蜂巢","蜂巢",0.00711668196808058
"郭靖大","郭靖大",0.00710777008316325
"練功","練功",0.00710571153792465
"真人","真人",0.00708653659993596
"向小龍","向小龍",0.00708468443901747
"主道","主道",0.00708416930651394
"猛虎","猛虎",0.00707669457111548
"郭襄笑","郭襄笑",0.00707354650673545
"掌力","掌力",0.00706365893699338
"蛛網","蛛網",0.0070581616638229
"朗聲","朗聲",0.00704597326029435
"聯手","聯手",0.00703262587610795
"長鬍子","長鬍子",0.00703137586647605
"療傷","療傷",0.00703035346205096
"迎親","迎親",0.00703028810421052
"拜見","拜見",0.00702985439595052
"機關","機關",0.00701603338289026
